column,total_rows,missing_count,missing_rate_pct,min,max,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_rate_pct
VendorID,3724889,0,0.0,1.0,7.0,2.0,2.0,0.0,2.0,2.0,759147.0,20.38
tpep_pickup_datetime,3724889,0,0.0,,,,,,,,,
tpep_dropoff_datetime,3724889,0,0.0,,,,,,,,,
passenger_count,3724889,1088058,29.21,0.0,9.0,1.0,1.0,0.0,1.0,1.0,485837.0,18.43
trip_distance,3724889,0,0.0,0.0,269097.48,1.0,3.73,2.73,-3.0949999999999998,7.824999999999999,421950.0,11.33
RatecodeID,3724889,1088058,29.21,1.0,99.0,1.0,1.0,0.0,1.0,1.0,246336.0,9.34
store_and_fwd_flag,3724889,1088058,29.21,,,,,,,,,
PULocationID,3724889,0,0.0,1.0,265.0,114.0,233.0,119.0,-64.5,411.5,0.0,0.0
DOLocationID,3724889,0,0.0,1.0,265.0,107.0,234.0,127.0,-83.5,424.5,0.0,0.0
payment_type,3724889,0,0.0,0.0,4.0,0.0,1.0,1.0,-1.5,2.5,73041.0,1.96
fare_amount,3724889,0,0.0,-2555.2,2555.2,10.0,26.1,16.1,-14.150000000000002,50.25,266087.0,7.14
extra,3724889,0,0.0,-7.5,17.46,0.0,2.5,2.5,-3.75,6.25,38690.0,1.04
mta_tax,3724889,0,0.0,-0.5,4.75,0.5,0.5,0.0,0.5,0.5,86159.0,2.31
tip_amount,3724889,0,0.0,-88.88,766.0,0.0,3.71,3.71,-5.5649999999999995,9.274999999999999,203082.0,5.45
tolls_amount,3724889,0,0.0,-94.5,122.22,0.0,0.0,0.0,0.0,0.0,240709.0,6.46
improvement_surcharge,3724889,0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,155481.0,4.17
total_amount,3724889,0,0.0,-2560.2,2560.2,17.0,33.83,16.83,-8.244999999999997,59.074999999999996,347009.0,9.32
congestion_surcharge,3724889,1088058,29.21,-2.5,2.5,2.5,2.5,0.0,2.5,2.5,333572.0,12.65
Airport_fee,3724889,1088058,29.21,-1.75,26.75,0.0,0.0,0.0,0.0,0.0,237602.0,9.01
cbd_congestion_fee,3724889,0,0.0,-0.75,0.75,0.0,0.75,0.75,-1.125,1.875,0.0,0.0
